Subject,Same Day,Year,participant_id,Age,Gender,kbit_std_v,Delay,Day 1 PS object target,Day 1 PS location target,Day 1 PS animal target,Day 1 PC Ab target,Day 1 PC Bc target,Day 1 PC Ac target,Day 1 PC Cb target,Day 1 PC Cb lure,Day 1 PC Ba target,Day 1 PC Ca target,Day 2 PS object target,Day 2 PS location target,Day 2 PS animal target,Day 2 PS animal lure,Day 2 PS animal foil,Day 2 PC Ab target,Day 2 PC Bc target,Day 2 PC Ac target,Day 2 PC Cb target,Day 2 PC Ba target,Day 2 PC Ca target,Day 1 PS animal lure,Day 1 PC Ab lure,Day 1 PS object foil,Day 1 PS location foil,Day 2 PS object lure,Day 2 PS location foil,Day 2 PC Ab lure,Day 2 PC Bc lure,Day 2 PC Ac lure,Day 2 PC Cb lure,Day 2 PC Ba lure,Day 2 PC Ca lure,Day 1 PS location lure,Day 1 PC Bc lure,Day 1 PC Ac lure,Day 1 PC Ba lure,Day 1 PC Ca lure,Day 2 PS object foil,Day 2 PS location lure,Day 1 PS object lure,Day 1 PS animal foil
MDEM141,True,1,MDEM141,4.34,Girl,,True,2,2,3,3,5,4,2,7,5,6,4,3,3,2,4,2,2,2,7,0,2,0,6,4,4,2,4,7,7,7,2,9,7,3,4,5,4,3,3,2,3,6
MDEM142,True,1,MDEM142,4.23,Girl,134.0,True,7,4,6,4,6,4,6,3,3,5,3,4,4,2,3,3,5,1,3,4,4,0,5,1,5,1,3,6,4,8,6,5,5,0,3,5,6,4,5,2,1,3
MDEM143,True,1,MDEM143,6.24,Boy,107.0,True,4,5,3,2,1,3,3,6,5,5,2,4,4,1,4,3,3,2,2,1,3,2,7,3,4,1,3,6,6,7,7,8,6,0,8,6,4,4,6,2,2,4
MDEM144,True,1,MDEM144,6.24,Boy,97.0,True,5,5,5,7,7,6,9,0,9,9,1,1,5,1,3,4,7,1,7,1,2,1,2,3,3,3,6,5,2,8,2,8,7,1,2,3,0,0,5,2,1,3
MDEM145,True,1,MDEM145,5.36,Girl,106.0,True,1,5,3,5,3,5,6,3,5,6,2,5,5,1,3,3,9,5,4,5,8,2,4,6,3,2,2,6,0,4,5,4,1,1,6,4,4,3,5,2,2,4
MDEM146,True,1,MDEM146,4.51,Girl,116.0,True,5,9,5,6,4,7,8,1,8,7,4,7,4,2,3,2,6,5,1,5,9,1,3,1,0,0,1,7,3,4,8,4,0,0,5,2,1,2,5,1,3,3
MDEM148,True,1,MDEM148,7.88,Girl,125.0,True,7,7,6,5,8,5,7,2,8,7,5,7,8,0,1,4,6,7,3,6,8,1,4,0,1,2,1,5,3,2,6,3,1,1,1,4,1,2,2,1,2,2
MDEM149,True,1,MDEM149,5.98,Girl,125.0,True,6,7,7,7,5,4,3,6,6,7,3,4,4,0,5,3,2,3,2,3,5,1,2,1,1,3,4,6,7,6,7,6,4,1,4,5,3,2,3,1,2,1
MDEM152,True,1,MDEM152,7.56,Girl,124.0,True,7,6,9,5,2,4,3,6,7,7,7,4,9,0,0,9,9,8,2,9,9,0,4,1,1,1,3,0,0,1,7,0,0,2,7,5,2,2,1,2,1,0
MDEM153,True,1,MDEM153,4.82,Boy,108.0,True,2,2,3,2,3,6,3,6,4,4,3,2,1,1,7,0,2,4,0,7,3,1,7,6,6,1,5,9,7,5,9,2,6,1,6,3,5,5,5,2,1,5
MDEM157,True,1,MDEM157,4.2,Girl,96.0,True,4,2,2,0,1,4,3,6,1,5,2,2,3,2,4,2,1,4,3,2,2,4,9,3,5,3,6,7,8,5,6,7,7,2,8,5,8,4,4,1,2,3
MDEM159,True,1,MDEM159,5.18,Girl,112.0,True,1,4,2,3,2,4,4,5,5,4,5,1,3,0,6,2,2,4,0,3,3,2,6,6,3,0,6,7,7,5,9,6,6,2,7,5,4,5,4,2,2,5
MDEM102,True,1,MDEM102,6.97,Girl,92.0,True,7,8,9,5,1,3,4,5,3,8,7,5,8,0,1,3,3,3,4,2,4,0,4,1,0,0,3,6,6,6,5,7,5,1,8,6,6,1,2,1,1,0
MDEM112,True,1,MDEM112,5.69,Girl,110.0,True,5,4,6,3,4,1,5,4,2,2,3,4,4,3,2,2,1,3,4,4,3,2,6,4,5,3,4,7,8,6,5,5,6,0,5,8,7,7,3,1,0,1
MDEM053,True,2,MDEM053,7.91,Girl,119.0,True,9,9,6,4,6,9,7,2,8,9,8,9,8,1,0,9,8,9,8,9,9,2,5,0,0,1,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,1
MDEM054,True,2,MDEM054,5.52,Boy,115.0,True,8,7,8,7,7,9,8,1,9,9,7,6,9,0,0,7,8,8,5,8,9,1,2,0,0,1,1,2,1,1,4,1,0,2,2,0,0,0,1,2,1,0
MDEM055,True,2,MDEM055,7.92,Girl,132.0,True,7,9,8,7,9,9,9,0,9,9,9,9,8,0,1,6,9,9,6,8,9,1,2,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,2,0
MDEM057,True,2,MDEM057,7.99,Boy,111.0,True,7,7,8,3,3,6,4,5,5,6,7,6,8,1,0,5,3,5,2,3,3,0,6,0,2,1,2,4,6,4,7,6,6,0,6,3,4,3,1,1,2,1
MDEM058,True,2,MDEM058,7.95,Girl,111.0,True,8,7,8,5,2,5,5,4,5,6,8,8,8,1,0,5,7,6,6,5,7,1,4,0,1,1,0,4,2,3,3,4,2,1,7,4,4,3,0,1,1,0
MDEM059,True,2,MDEM059,7.22,Boy,116.0,True,7,9,9,7,4,8,4,5,8,8,4,5,9,0,0,6,7,6,3,4,7,0,2,0,0,1,0,3,2,3,6,5,2,0,5,1,1,1,4,4,2,0
MDEM060,True,2,MDEM060,5.54,Girl,104.0,True,8,7,9,2,7,5,7,2,3,7,7,9,6,2,1,5,8,5,6,6,7,0,7,0,1,1,0,4,1,4,3,3,2,1,2,4,6,2,1,0,1,0
